gene	pLI	LOEUF
NCAPG	1.6167e-05	0.671
NCAPG2	0.99989	0.441
NCAPH	0.11118	0.566
NCAPH2	1.0124e-11	0.792
NCBP1	1.0	0.203
NCBP2	0.58277	0.664
NCBP3	0.99995	0.404
NCCRP1	6.6892e-12	1.396
NCDN	1.0	0.261
NCEH1	0.95811	0.529
NCF1	0.82121	0.617
NCF2	8.1564e-10	0.799
NCF4	2.8817e-08	1.005
NCK1	0.0090863	0.72
NCK2	0.023062	0.731
NCKAP1	1.0	0.14
NCKAP1L	0.99871	0.46
NCKAP5	2.58e-09	0.628
NCKAP5L	6.9753e-11	0.776
NCKIPSD	1.1257e-11	0.886
NCL	1.0	0.102
NCLN	7.9174e-07	0.812
NCMAP	5.0526e-05	1.894
NCOA1	1.0	0.298
NCOA2	1.0	0.211
NCOA3	1.0	0.376
NCOA4	0.0019063	0.65
NCOA5	1.0	0.321
NCOA6	1.0	0.359
NCOA7	0.70341	0.52
NCOR1	1.0	0.292
NCR1	1.8682e-11	1.236
NCR2	5.4111e-12	1.472
NCR3	0.00026206	1.208
NCR3LG1	6.5732e-08	1.277
NCS1	0.99892	0.384
NCSTN	1.0	0.343
NDC1	0.9999	0.375
NDC80	1.0793e-07	0.876
NDE1	3.5428e-06	0.851
NDEL1	0.99994	0.357
NDFIP1	0.89036	0.582
NDFIP2	0.00019115	1.026
NDN	0.95311	0.478
NDNF	0.8531	0.556
NDOR1	3.2949e-20	1.156
NDRG1	3.2594e-05	0.724
NDRG2	7.1164e-06	0.763
NDRG3	0.16778	0.659
NDRG4	3.7753e-07	0.818
NDST1	0.98664	0.484
NDST2	0.99213	0.479
NDST3	2.6356e-07	0.699
NDST4	2.8964e-09	0.773
NDUFA10	1.7415e-10	1.12
NDUFA11	3.3647e-06	1.761
NDUFA12	3.4682e-05	1.188
NDUFA13	5.9454e-06	1.301
NDUFA2	0.0022739	1.343
NDUFA3	0.00057309	1.465
NDUFA4	0.15061	1.689
NDUFA4L2	2.0736e-06	1.824
NDUFA5	0.0036885	1.407
NDUFA6	0.0010099	1.523
NDUFA7	6.5947e-09	1.887
NDUFA8	0.00059673	1.108
NDUFA9	0.003121	0.783
NDUFAB1	0.87239	0.613
NDUFAF1	0.0074616	0.841
NDUFAF2	0.016472	1.107
NDUFAF3	2.8136e-07	1.22
NDUFAF4	0.075091	0.962
NDUFAF5	1.5767e-05	1.068
NDUFAF6	4.3013e-15	1.566
NDUFAF7	7.0019e-17	1.342
NDUFAF8	9.3729e-05	1.825
NDUFB1	0.0087688	1.608
NDUFB10	6.9548e-11	1.57
NDUFB2	3.2443e-05	1.533
NDUFB3	0.0029987	1.457
NDUFB4	0.0018887	1.133
NDUFB5	0.00035607	1.568
NDUFB6	1.2073e-05	1.925
NDUFB7	5.2846e-09	1.945
NDUFB8	0.00033511	0.937
NDUFB9	5.7016e-07	1.162
NDUFC1	0.0046267	1.556
NDUFC2	0.50949	0.964
NDUFS1	9.2715e-12	0.836
NDUFS2	1.2594e-05	0.69
NDUFS3	0.0004259	0.856
NDUFS4	2.0012e-09	1.519
NDUFS5	0.033663	1.092
NDUFS6	1.3092e-05	1.54
NDUFS7	0.1577	0.726
NDUFS8	0.034248	0.775
NDUFV1	2.7524e-13	1.086
NDUFV2	0.82792	0.604
NDUFV3	1.2395e-17	1.458
NEB	5.309e-52	0.597
NEBL	3.4176e-21	1.036
NECAB1	4.5644e-05	1.159
NECAB2	3.0006000000000002e-30	1.713
NECAB3	1.3498e-10	1.098
NECAP1	0.67524	0.594
NECAP2	1.7963e-12	1.318
NECTIN1	0.014474	0.659
NECTIN2	0.014577	0.658
NECTIN3	0.99999	0.316
NECTIN4	0.86378	0.538
NEDD1	0.079446	0.842
NEDD4	1.7355e-15	0.858
NEDD4L	0.99881	0.457
NEDD8	0.99186	0.352
NEDD9	0.99982	0.432
NEFH	1.3789999999999998e-22	1.417
NEFL	8.8766e-10	0.986
NEFM	0.86101	0.541
NEGR1	0.99557	0.429
NEIL1	9.5791e-08	0.924
NEIL2	2.805e-11	1.565
NEIL3	5.8047e-12	1.051
NEK1	9.1878e-23	0.959
NEK10	3.1072e-14	0.997
NEK11	6.8226e-15	1.167
NEK2	0.040292	0.648
NEK3	1.3659e-07	0.935
NEK4	2.8456e-21	1.158
NEK5	3.1073e-05	0.937
NEK6	1.8484e-05	0.968
NEK7	0.21292	1.045
NEK8	1.7709e-11	0.835
NEK9	9.3511e-13	0.837
NELFA	1.1865e-08	0.959
NELFB	3.2219e-07	0.807
NELFCD	1.675e-09	0.862
NELFE	0.0054724	0.657
NELL1	1.7284e-13	0.826
NELL2	0.95737	0.495
NEMF	1.6208e-07	0.687
NEMP1	0.019449	0.693
NEMP2	2.9847e-14	1.35
NENF	0.061281	1.242
NEO1	0.73362	0.495
NEPRO	2.0746e-09	1.145
NES	3.2207e-09	1.264
NET1	1.4902e-10	1.031
NETO1	0.40204	0.584
NETO2	0.065245	0.627
NEU1	4.2346e-10	1.045
NEU2	2.3118e-05	1.878
NEU3	0.00073204	1.273
NEU4	0.0049304	1.538
NEURL1	2.3062e-07	1.036
NEURL1B	0.0010351	1.048
NEURL2	1.7584e-06	1.579
NEURL3	1.1484e-08	1.915
NEURL4	1.0	0.382
NEUROD1	0.41517	0.688
NEUROD2	0.26507	0.897
NEUROD4	3.3672e-05	1.191
NEUROD6	0.99723	0.413
NEUROG1	0.00029617	1.79
NEUROG2	0.51004	1.45
NEUROG3	0.29275	1.892
NEXN	1.3677e-13	0.878
NF1	0.99946	0.449
NF2	1.0	0.187
NFAM1	0.015572	1.117
NFASC	1.0	0.362
NFAT5	1.0	0.235
NFATC1	0.99825	0.461
NFATC2	1.0	0.365
NFATC2IP	3.7646e-06	0.988
NFATC3	0.0002765	0.611
NFATC4	0.97096	0.5
NFE2	0.023503	0.798
NFE2L1	0.9999	0.417
NFE2L2	0.5022	0.575
NFE2L3	3.1674e-10	1.802
NFIA	1.0	0.175
NFIB	1.0	0.3
NFIC	0.99987	0.399
NFIL3	0.60391	0.696
NFIX	1.0	0.092
NFKB1	1.0	0.178
NFKB2	1.0	0.308
NFKBIA	0.98158	0.5
NFKBIB	0.0032009	0.831
NFKBIE	0.4223	0.655
NFKBIL1	9.3217e-08	0.98
NFKBIZ	1.0	0.38
NFRKB	0.0016253	0.543
NFS1	0.073263	0.669
NFU1	7.2341e-05	1.544
NFX1	0.00032335	0.574
NFXL1	5.0357e-05	0.91
NFYA	0.0066146	0.68
NFYB	0.13816	0.877
NFYC	0.0023162	0.74
NGB	0.0006121	1.452
NGDN	2.4409e-12	1.147
NGEF	0.96202	0.5
NGF	0.7686	0.67
NGFR	3.8065e-09	1.111
NGLY1	1.8541e-16	1.008
NGRN	2.0497e-05	1.616
NHEJ1	0.00057385	0.816
NHLH1	0.22474	1.19
NHLH2	0.0018994	1.779
NHLRC1	0.00095659	1.133
NHLRC2	0.040434	0.724
NHLRC3	0.01256	1.154
NHLRC4	0.35427	1.82
NHP2	0.0020308	1.123
NHSL1	1.5053e-05	0.638
NIBAN1	1.5993999999999999e-21	1.211
NIBAN2	0.090936	0.563
NIBAN3	2.1048e-18	1.197
NICN1	0.00017382	1.034
NID1	2.5882e-11	0.676
NID2	5.3132e-10	0.642
NIF3L1	1.1666e-06	1.018
NIFK	0.15162	0.818
NIM1K	2.1142e-11	1.189
NIN	8.5086e-17	0.62
NINJ1	0.05823	1.103
NINJ2	6.8785e-05	1.554
NINL	1.3818e-47	1.109
NIP7	0.008328	0.91
NIPA1	0.27307	0.832
NIPA2	0.6213	0.69
NIPAL1	2.3163e-08	1.297
NIPAL2	7.4341e-05	1.05
NIPAL3	6.2902e-10	1.092
NIPAL4	4.5525e-05	1.037
NIPBL	1.0	0.057
NIPSNAP1	0.0034434	0.678
NIPSNAP2	1.8463e-08	1.196
NIPSNAP3A	1.086e-07	1.176
NIPSNAP3B	3.8145e-08	1.146
NISCH	0.92398	0.488
NIT1	1.325e-08	1.044
NIT2	2.0051e-07	1.249
NKAIN1	0.023985	0.797
NKAIN2	0.25526	0.904
NKAIN3	0.0068711	1.448
NKAIN4	1.8347e-09	1.442
NKAPD1	0.84153	0.591
NKAPL	0.22695	0.812
NKD1	0.0085892	0.708
NKD2	3.9103e-18	1.688
NKG7	0.061494	0.921
NKIRAS1	0.00024981	1.128
NKIRAS2	0.00022981	1.068
NKPD1	3.8175e-16	1.73
NKTR	0.16311	0.52
NKX1-2	0.65722	0.894
NKX2-1	0.9636	0.522
NKX2-2	0.67741	0.64
NKX2-3	0.92504	0.561
NKX2-4	0.00052037	1.968
NKX2-5	0.99954	0.321
NKX2-6	0.0011935	1.687
NKX2-8	0.00020374	1.932
NKX3-1	0.00016007	1.179
NKX3-2	0.00027059	1.203
NKX6-1	0.0025488	1.021
NKX6-2	8.897e-07	1.68
NKX6-3	1.0176e-05	1.24
NLE1	6.802e-07	0.774
NLGN2	0.99985	0.401
NLK	0.99996	0.308
NLN	3.4302e-09	0.934
NLRC3	8.5674e-22	1.386
NLRC4	1.7035e-13	0.948
NLRC5	4.4268e-17	0.651
NLRP1	6.4679e-22	0.835
NLRP10	0.05794	1.258
NLRP12	2.9058e-41	1.336
NLRP13	2.9151e-23	1.019
NLRP14	4.4642e-31	1.179
NLRP2	7.8103e-36	1.232
NLRP3	9.769e-06	0.639
NLRP4	3.8541e-05	0.645
NLRP5	1.3451000000000001e-24	0.963
NLRP6	5.637100000000001e-19	1.236
NLRP8	6.9494e-27	1.101
NLRP9	1.4264e-29	1.24
NLRX1	6.339700000000001e-20	1.085
NMB	3.2834e-05	1.531
NMBR	0.00039464	1.08
NMD3	0.012546	0.876
NME1	0.067802	0.909
NME2	5.7002e-07	1.488
NME3	2.1316e-13	1.97
NME4	2.4259e-07	1.602
NME5	0.00024246	1.473
NME6	1.0494e-05	1.162
NME7	0.00028506	1.197
NME8	6.9088e-13	1.079
NME9	7.6376e-09	1.393
NMI	2.1395e-05	1.46
NMNAT1	5.4024e-06	1.312
NMNAT2	0.98409	0.494
NMNAT3	0.0003078	1.427
NMRAL1	2.1657e-12	1.471
NMRK1	0.0095391	1.204
NMRK2	6.4741e-15	1.887
NMS	1.605e-09	1.454
NMT1	1.0	0.318
NMT2	0.00018437	0.737
NMU	0.10174	1.283
NMUR1	5.0124e-07	1.399
NMUR2	4.2504e-07	1.327
NNAT	0.012515	1.154
NNMT	0.0012831	1.306
NNT	0.0047582	0.588
NOA1	1.6738e-08	0.862
NOB1	6.8934e-14	1.233
NOBOX	3.639e-11	1.061
NOC2L	8.728899999999999e-38	1.344
NOC3L	1.8645e-14	1.08
NOC4L	2.2796e-10	0.964
NOCT	0.0060489	0.754
NOD1	3.8589e-15	0.981
NOD2	2.3753999999999997e-22	1.033
NODAL	0.16392	0.854
NOG	0.99555	0.367
NOL10	3.8123e-09	1.007
NOL11	0.0020276	0.803
NOL12	2.8533e-07	1.369
NOL4	1.0	0.326
NOL4L	1.0	0.187
NOL6	1.0	0.34
NOL7	1.8222e-09	1.369
NOL8	2.9757e-18	0.948
NOL9	0.010702	0.628
NOLC1	0.00029848	0.64
NOM1	1.0826e-13	0.961
NOMO1	0.12475	0.548
NOMO2	0.84847	0.566
NOMO3	0.86514	0.571
NOP10	0.035269	1.215
NOP14	7.353e-09	0.701
NOP16	0.043985	0.855
NOP2	1.0	0.208
NOP53	2.0379e-10	1.078
NOP56	3.4607e-05	0.723
NOP58	3.3295e-06	0.995
NOP9	1.8524e-13	0.964
NOPCHAP1	0.00021786	1.346
NOS1	1.0	0.399
NOS1AP	0.98491	0.495
NOS2	2.0617999999999999e-22	0.858
NOS3	2.5457000000000002e-25	0.9
NOSIP	1.9988e-07	1.133
NOSTRIN	5.2647e-12	1.474
NOTCH1	1.0	0.217
NOTCH2	1.0	0.151
NOTCH2NLC	0.063272	1.916
NOTCH3	1.5089e-07	0.566
NOTCH4	1.6681e-34	0.866
NOTO	1.0026e-07	1.597
NOTUM	1.1702e-07	0.873
NOVA1	0.99969	0.378
NOVA2	0.85257	0.611
NOX3	2.5241e-16	1.2
NOX4	1.6145e-07	1.018
NOX5	1.5407999999999999e-21	1.069
NOXA1	3.1166e-24	1.564
NOXO1	9.2359e-17	1.685
NOXRED1	0.00026964	0.952
NPAP1	0.11588	1.935
NPAS1	4.095e-06	0.918
NPAS2	1.0	0.338
NPAS4	1.0	0.235
NPAT	0.99443	0.474
NPB	0.00017599	1.94
NPBWR1	0.0023003	1.891
NPBWR2	0.30761	1.878
NPC1	6.0265e-11	0.676
NPC1L1	5.7022000000000004e-27	0.955
NPC2	2.2188e-06	1.422
NPDC1	6.8765e-05	1.193
NPEPL1	1.1025e-13	1.287
NPEPPS	1.0	0.299
NPFF	6.2875e-07	1.73
NPFFR1	4.7301e-08	1.893
NPFFR2	0.0093343	1.589
NPHP1	4.482e-10	0.92
NPHP3	1.4470999999999998e-21	0.873
NPHP4	1.9287999999999997e-50	1.183
NPHS1	1.6385999999999998e-26	0.871
NPHS2	9.7871e-12	1.319
NPIPA1	0.84538	0.61
NPIPA5	0.1404	1.404
NPIPB15	0.79366	0.641
NPIPB4	0.82307	0.651
NPIPB8	0.042104	1.853
NPL	1.0574e-08	1.182
NPLOC4	0.99966	0.426
NPM1	0.99648	0.313
NPM2	4.1054e-06	1.022
NPNT	4.9437e-09	0.944
NPPA	0.0013218	1.301
NPPB	1.9051e-05	1.629
NPPC	0.22	1.036
NPR1	2.8789e-08	0.671
NPR2	0.44949	0.517
NPR3	1.2828e-05	0.92
NPRL2	0.5771	0.564
NPRL3	0.064111	0.653
NPS	0.42726	1.68
NPSR1	9.0851e-13	1.409
NPTN	0.99999	0.288
NPTX1	0.96393	0.52
NPTX2	1.4596e-06	1.092
NPTXR	0.011146	0.815
NPVF	1.0112e-05	1.737
NPW	0.0016042	1.923
NPY	0.001594	1.419
NPY1R	0.5078	0.683
NPY2R	5.2938e-05	1.079
NPY4R	0.29987	1.625
NPY5R	9.6098e-07	1.18
NQO1	2.341e-08	1.234
NQO2	7.7538e-06	1.07
NR0B2	4.2725e-06	1.34
NR1D1	0.9943	0.476
NR1D2	0.0046638	0.702
NR1H2	1.7373e-07	0.901
NR1H3	0.76277	0.556
NR1H4	0.66876	0.577
NR1I2	1.214e-13	1.177
NR1I3	3.2512e-09	1.015
NR2C1	0.0014957	0.701
NR2C2	1.0	0.159
NR2C2AP	0.0013994	1.018
NR2E1	1.0	0.268
NR2E3	7.8371e-15	1.47
NR2F1	1.0	0.133
NR2F2	1.0	0.197
NR2F6	8.7258e-07	1.256
NR3C1	1.0	0.294
NR3C2	1.0	0.268
NR4A1	0.0014929	0.713
NR4A2	1.0	0.093
NR4A3	0.99904	0.437
NR5A1	0.99998	0.314
NR5A2	0.05005	0.619
NR6A1	1.0	0.193
NRAP	4.5822999999999997e-26	1.045
NRARP	0.23376	1.775
NRAS	0.93745	0.55
NRBF2	0.32625	0.736
NRBP1	1.0	0.215
NRBP2	7.3007e-12	0.914
NRCAM	4.1389e-07	0.652
NRDC	0.92378	0.503
NRDE2	3.5603e-11	0.696
NREP	0.020574	1.829
NRF1	1.0	0.188
NRG2	0.14157	0.58
NRG3	0.0027829	0.636
NRGN	0.48037	1.539
NRIP1	0.98464	0.489
NRIP2	1.2305e-07	1.033
NRIP3	7.2492e-12	1.684
NRL	1.863e-11	1.917
NRM	1.7294e-06	1.265
NRN1	0.85263	0.62
NRN1L	1.7331e-05	1.902
NRP1	1.0	0.408
NRP2	0.0059408	0.562
NRROS	0.10908	0.909
NRSN1	0.00013742	1.197
NRSN2	7.8669e-07	1.565
NRTN	0.37433	1.145
NRXN1	1.0	0.317
NRXN2	1.0	0.317
NRXN3	1.0	0.319
NSA2	0.00089696	0.91
NSD1	1.0	0.144
NSD2	1.0	0.139
NSD3	1.0	0.176
NSF	0.99792	0.425
NSFL1C	0.91544	0.552
NSG1	0.1041	0.859
NSG2	0.95227	0.48
NSL1	0.021898	0.981
NSMAF	2.8799e-12	0.786
NSMCE1	0.011419	0.846
NSMCE2	0.52197	1.113
NSMCE4A	1.8706e-07	1.255
NSMF	0.00093631	0.658
NSRP1	0.52682	0.582
NSUN2	6.8367e-15	0.965
NSUN3	0.0062291	0.795
NSUN4	8.6226e-08	0.929
NSUN5	1.1452e-10	0.989
NSUN6	2.1855e-06	1.546
NSUN7	2.089e-07	1.245
NT5C	0.00063076	1.187
NT5C1A	0.00011193	0.932
NT5C2	1.0377e-07	1.128
NT5C3A	0.00092412	1.137
NT5C3B	4.5143e-08	1.386
NT5DC1	0.036055	1.406
NT5DC2	8.3577e-08	0.788
NT5DC3	0.012197	0.709
NT5DC4	0.21548	1.809
NT5E	4.0083e-18	1.254
NT5M	4.9982e-09	1.519
NTAN1	0.0034895	1.633
NTAQ1	0.00013321	1.057
NTF3	0.96565	0.52
NTHL1	8.395e-12	1.381
NTM	0.98715	0.492
NTMT1	0.1868	0.796
NTMT2	1.7601e-07	1.196
NTN1	0.99816	0.444
NTN3	8.8641e-21	1.738
NTN4	0.83024	0.533
NTN5	1.4684e-17	1.607
NTNG1	0.99906	0.444
NTNG2	0.98038	0.501
NTPCR	0.00084052	1.251
NTRK1	1.1294e-16	0.954
NTRK2	1.0	0.123
NTS	0.051478	1.808
NTSR1	6.7143e-10	1.261
NTSR2	1.8032e-09	1.731
NUAK1	0.012967	0.637
NUAK2	0.00023354	0.962
NUB1	0.003219	0.728
NUBP1	2.0604e-18	1.498
NUBP2	9.2366e-09	1.457
NUBPL	0.00035866	0.896
NUCB1	7.1774e-13	1.004
NUCB2	0.058837	1.254
NUCKS1	0.99962	0.285
NUDC	0.97144	0.511
NUDCD1	6.6083e-07	1.013
NUDCD2	0.0013352	1.181
NUDCD3	0.98652	0.492
NUDT1	1.2252e-08	1.738
NUDT12	2.083e-09	1.239
NUDT13	2.7817e-12	1.251
NUDT14	5.5937e-09	1.607
NUDT15	1.7768e-05	1.364
NUDT16	5.6525e-05	1.591
NUDT17	1.1208e-13	1.374
NUDT18	8.097e-11	1.645
NUDT19	8.166e-14	1.95
NUDT2	0.00032999	1.28
NUDT21	0.95026	0.514
NUDT22	2.679e-08	1.224
NUDT3	0.44977	0.679
NUDT4	0.38124	1.776
NUDT5	0.012878	0.976
NUDT6	0.00015433	1.106
NUDT7	7.0725e-10	1.941
NUDT8	8.9286e-06	1.756
NUDT9	4.5546e-06	1.06
NUF2	0.011545	0.989
NUFIP1	0.00060523	0.866
NUFIP2	1.0	0.199
NUGGC	7.0683e-06	0.764
NUMA1	1.0	0.325
NUMB	0.022922	0.646
NUMBL	0.30414	0.622
NUP107	2.8313e-09	0.833
NUP133	0.015088	0.57
NUP153	1.0	0.172
NUP155	0.99511	0.473
NUP188	6.3884e-05	0.539
NUP205	1.0	0.366
NUP210	1.7738e-38	0.894
NUP214	0.99889	0.457
NUP35	0.00015255	0.913
NUP37	0.00087221	1.144
NUP42	1.1691e-08	1.526
NUP43	0.00019025	0.843
NUP50	0.38236	0.663
NUP54	0.27619	0.611
NUP58	0.99982	0.367
NUP62	0.99984	0.158
NUP85	1.0	0.352
NUP88	1.1815e-07	0.747
NUP93	9.3371e-07	0.673
NUP98	1.0	0.155
NUPR1	0.00089607	1.751
NUPR2	1.1043e-07	1.97
NUS1	0.99945	0.182
NUSAP1	4.0634e-05	1.046
NUTF2	0.99043	0.403
NUTM1	0.49659	0.531
NUTM2A	0.48807	1.178
NUTM2D	0.95948	0.464
NUTM2F	4.9602e-05	0.911
NUTM2G	7.1374e-09	1.116
NVL	4.8987e-12	0.892
NWD1	4.7061e-36	1.064
NWD2	1.0	0.323
NXF1	0.0004251	0.606
NXN	0.37145	0.64
NXNL1	0.014931	1.448
NXNL2	0.0092091	1.371
NXPE2	0.00054072	1.119
NXPE3	6.0641e-05	0.805
NXPE4	3.9861e-15	1.571
NXPH1	0.99591	0.426
NXPH2	0.95344	0.533
NXPH3	0.48241	0.712
NXPH4	0.025021	1.042
NXT1	0.6961	0.739
NYAP1	0.03184	0.665
NYNRIN	8.3869e-15	0.696
OAF	0.0092099	0.951
OARD1	0.0020483	1.764
OAS1	0.000201	0.817
OAS2	7.6789e-20	1.08
OAS3	4.0397000000000005e-35	1.112
OAT	2.2793e-07	0.968
OBI1	1.1821e-16	1.172
OBP2A	0.0014761	1.081
OBP2B	0.075118	0.848
OBSCN	4.866000000000001e-246	1.007
OBSL1	2.7825000000000003e-57	1.212
OC90	1.7756e-12	1.274
OCA2	1.9006e-14	0.869
OCEL1	1.4414e-07	1.156
OCIAD1	0.10174	1.108
OCIAD2	0.00021588	1.965
OCLN	0.016764	0.728
OCM	2.6576e-08	1.861
OCSTAMP	9.1105e-05	1.034
ODAD1	1.1861e-10	0.904
ODAD2	2.9467e-18	0.977
ODAD3	2.4574e-16	1.019
ODAD4	1.0902e-10	1.044
ODAM	4.1529e-08	1.394
ODAPH	0.071659	1.704
ODC1	0.23096	0.617
ODF1	0.22922	0.72
ODF3	7.5224e-09	1.477
ODF3B	7.7934e-10	1.521
ODF3L1	0.0096975	1.578
ODF3L2	0.00045109	1.941
ODF4	0.0039465	1.125
ODR4	1.3777e-07	1.358
OGA	1.0	0.32
OGDH	1.0	0.415
OGDHL	9.309400000000001e-19	0.847
OGFOD1	7.3818e-11	1.006
OGFOD3	1.2076e-11	1.217
OGFR	4.9674e-05	0.984
OGFRL1	5.6953e-06	1.306
OGG1	7.3876e-12	1.099
OGN	0.19317	0.887
OIP5	1.1679e-08	1.743
OIT3	4.4064e-08	0.931
OLA1	0.98202	0.494
OLAH	1.3619e-07	1.558
OLFM1	0.99999	0.328
OLFM2	0.0039955	0.736
OLFM3	0.35194	0.589
OLFM4	6.7461e-09	1.163
OLFML1	2.7594e-10	1.134
OLFML2A	1.1711e-12	1.01
OLFML2B	7.5129e-14	0.936
OLFML3	2.1458e-06	0.983
OLIG1	9.5219e-05	1.92
OLIG2	1.2292e-05	1.842
OLIG3	0.00016087	1.398
OLR1	4.986e-06	1.053
OMD	0.030978	0.757
OMG	0.89511	0.565
OMP	0.13332	0.948
ONECUT1	0.025697	0.823
ONECUT2	0.38719	0.677
ONECUT3	1.3739e-06	1.933
OOEP	7.6706e-06	1.631
OPA1	0.92269	0.503
OPA3	0.00025087	1.92
OPALIN	0.00033779	1.276
OPCML	0.94621	0.531
OPLAH	1.053e-35	1.163
OPN1SW	4.9625e-07	1.03
OPN3	3.3178e-09	1.161
OPN4	2.4081e-14	1.149
OPRD1	1.8672e-06	1.445
OPRK1	0.00093772	0.907
OPRL1	0.30553	0.718
OPRM1	4.1934e-07	1.082
OPRPN	0.43923	1.651
OPTC	5.2338e-07	1.232
OPTN	9.8571e-10	0.877
OR10A2	3.6274e-06	1.606
OR10A3	7.5446e-07	1.571
OR10A4	1.5261e-07	1.664
OR10A5	0.0015274	1.428
OR10A6	0.034718	1.418
OR10A7	0.18874	1.853
OR10C1	0.3545	1.82
OR10G2	0.36743	1.8
OR10G3	0.029758	1.017
OR10G4	0.32942	1.854
OR10G8	0.1176	1.934
OR10G9	0.13384	1.92
OR10H1	9.6567e-05	1.49
OR10H2	0.062472	1.918
OR10H3	1.6139e-06	1.852
OR10H4	0.0004451	1.52
OR10H5	0.053878	1.013
OR10J1	0.11101	1.939
OR10J5	0.037114	1.955
OR10K1	0.13158	1.922
OR10K2	0.33679	1.844
OR10P1	0.11202	1.938
OR10Q1	0.29773	1.888
OR10V1	0.19484	1.844
OR10W1	0.35176	1.824
OR10X1	0.3115	1.874
OR10Z1	0.17206	1.877
OR11A1	0.38766	1.764
OR11G2	0.00046468	1.861
OR11H1	0.47877	1.0
OR11H12	0.00052146	1.486
OR11H2	0.84635	0.608
OR11H4	0.19823	1.839
OR11H6	0.046747	0.896
OR11L1	0.31609	1.869
OR12D2	0.29411	1.891
OR12D3	0.21262	1.814
OR13A1	3.0675e-06	1.883
OR13C2	0.0055738	1.176
OR13C5	0.0036066	1.253
OR13C8	0.11972	1.783
OR13C9	0.10516	1.943
OR13D1	0.32732	1.856
OR13F1	0.21512	1.81
OR13G1	0.31549	1.87
OR13J1	1.831e-07	1.765
OR14A16	0.11968	1.932
OR14C36	0.34252	1.837
OR14J1	0.16413	1.887
OR1A1	0.010336	1.189
OR1A2	0.39731	1.38
OR1C1	0.31519	1.87
OR1D2	0.66904	0.983
OR1D5	0.41078	1.347
OR1E2	0.016892	1.103
OR1G1	0.16537	1.885
OR1J1	0.14199	1.912
OR1J4	0.34637	1.831
OR1K1	0.18062	1.865
OR1L1	0.34431	1.834
OR1L3	0.30948	1.876
OR1L4	0.0015864	1.618
OR1L6	3.0539e-05	1.848
OR1L8	0.53283	1.379
OR1M1	0.31969	1.865
OR1N2	0.12056	1.931
OR1Q1	0.33687	1.844
OR2A12	0.059805	1.922
OR2A14	0.00048718	1.855
OR2A25	0.34512	1.833
OR2A5	0.010957	1.178
OR2A7	0.30261	1.883
OR2AE1	0.069367	1.905
OR2AG1	0.00045404	1.97
OR2AP1	2.2058e-10	1.966
OR2B2	0.30693	1.879
OR2B6	0.30417	1.881
OR2C1	0.036618	1.955
OR2C3	0.3268	1.857
OR2D2	1.6848e-08	1.701
OR2D3	0.0020191	1.767
OR2F1	0.021682	1.818
OR2F2	0.20669	1.825
OR2G2	0.30447	1.881
OR2G3	0.30447	1.881
OR2G6	0.36716	1.8
OR2H1	0.38654	1.766
OR2J1	0.0033907	1.641
OR2J2	0.00088249	1.143
OR2J3	0.00063483	1.101
OR2K2	0.030725	0.941
OR2L2	0.11518	1.936
OR2L3	0.31824	1.867
OR2L5	0.11589	1.935
OR2L8	0.30783	1.878
OR2M3	0.33912	1.205
OR2M4	0.0018517	1.136
OR2M5	0.33992	1.84
OR2M7	0.30843	1.877
OR2S2	0.49645	1.491
OR2T1	0.13667	1.917
OR2T11	6.3587e-06	1.662
OR2T12	0.3242	1.86
OR2T27	0.33894	1.841
OR2T3	0.32165	1.863
OR2T33	0.00049465	1.34
OR2T4	0.34948	1.827
OR2T6	0.1058	1.943
OR2T8	0.1154	1.935
OR2V1	9.8296e-08	1.722
OR2V2	0.35888	1.813
OR2W1	0.32519	1.859
OR2W3	0.3262	1.857
OR2Y1	0.31491	1.87
OR2Z1	0.37031	1.795
OR4A47	5.364e-07	1.619
OR4B1	0.10485	1.943
OR4C11	1.3328e-05	1.92
OR4C12	0.00022591	1.487
OR4C13	2.9407e-11	1.939
OR4C15	0.29773	1.888
OR4C16	1.3172e-11	1.93
OR4C3	0.14858	1.905
OR4C46	4.8238e-09	1.968
OR4C6	3.2972e-09	1.924
OR4D1	0.0059594	1.069
OR4D10	0.35432	1.487
OR4D11	0.0057328	1.307
OR4D2	0.0015819	1.157
OR4D6	0.00116	1.202
OR4D9	0.019913	1.94
OR4E2	0.00023762	1.332
OR4F15	0.039254	1.065
OR4F17	0.50506	1.465
OR4F5	0.34887	1.828
OR4F6	0.00015949	1.275
OR4K1	7.729e-07	1.701
OR4K15	0.40245	1.735
OR4K2	0.0038905	1.239
OR4K5	0.12359	1.929
OR4M1	0.0014888	1.28
OR4N2	0.29773	1.888
OR4S1	0.12618	1.927
OR4S2	0.070869	1.708
OR4X2	0.29297	1.892
OR51A4	0.13519	1.918
OR51A7	0.079067	1.886
OR51B2	0.32319	1.861
OR51B4	0.36237	1.808
OR51B6	0.30903	1.876
OR51D1	0.000603	1.455
OR51E1	9.8239e-05	1.347
OR51E2	2.2233e-05	1.453
OR51F1	0.4945	1.497
OR51F2	0.3563	1.817
OR51G1	0.021552	1.935
OR51G2	1.0616e-05	1.576
OR51I1	0.071956	1.061
OR51I2	0.031478	1.243
OR51L1	0.12514	1.767
OR51M1	0.31641	1.869
OR51Q1	0.11508	1.936
OR51S1	0.24122	1.759
OR51T1	0.049566	1.938
